cycles, kcycles, scycles, instructions, L1-misses, LLC-misses, branch-misses, task-clock, scale,  IPC, CPUs,  GHz , Cycles/Tuple, Instructions/Tuple, Seconds, UC-Bandwidth(GB/s), C-Bandwidth(GB/s), Bit
91657603.08, 593253.42,    0.00, 199244260.44,   5892.69,      59.94,        851.42, 23673254.00,     1, 2.17, 1.00, 3.87 , 0.170726, 0.371121, 0.0236372, 84.6123, 0, 1
91640981.64, 451954.48,    0.00, 198667775.90,   5536.22,      90.00,       1077.19, 23823536.00,     1, 2.17, 1.00, 3.85 , 0.170695, 0.370048, 0.0238149, 83.9809, 0, 2
91776318.69, 427916.38,    0.00, 206043744.04,   5466.62,      57.63,        932.73, 24115732.00,     1, 2.25, 1.00, 3.81 , 0.170947, 0.383786, 0.0240992, 82.9902, 0, 3
91791373.53, 429426.23,    0.00, 196551386.28,   6194.43,     221.87,        938.07, 23798548.00,     1, 2.14, 1.00, 3.86 , 0.170975, 0.366105, 0.023783, 84.0938, 0, 4
91456352.07, 409748.63,    0.00, 211798002.22,   4777.45,       2.82,        849.79, 23696075.00,     1, 2.32, 1.00, 3.86 , 0.170351, 0.394505, 0.0236804, 84.4581, 0, 5
91777276.87, 439326.07,    0.00, 211280903.67,   5807.04,       2.69,        828.53, 23788772.00,     1, 2.30, 1.00, 3.86 , 0.170948, 0.393541, 0.023773, 84.1289, 0, 6
91601762.88, 423891.70,    0.00, 218322679.99,   5210.88,       8.14,        814.30, 23625387.00,     1, 2.38, 1.00, 3.88 , 0.170622, 0.406658, 0.0236097, 84.7108, 0, 7
91675753.77, 466366.13,    0.00, 192374220.24,   6301.24,       5.47,        866.61, 24176575.00,     1, 2.10, 1.00, 3.79 , 0.170759, 0.358325, 0.0241609, 82.7784, 0, 8
93243038.79, 432989.04,    0.00, 225405757.18,   5198.45,       5.39,        799.27, 24161986.00,     1, 2.42, 1.00, 3.86 , 0.173679, 0.419851, 0.0241463, 82.8286, 0, 9
91763548.65, 436899.51,    0.00, 223354398.92,   6309.67,       0.00,        828.87, 24106294.00,     1, 2.43, 1.00, 3.81 , 0.170923, 0.41603, 0.0240904, 83.0205, 0, 10
96000160.41, 484426.42,    0.00, 231962209.31,   6025.10,     158.09,        896.12, 24872721.00,     1, 2.42, 1.00, 3.86 , 0.178814, 0.432063, 0.0248572, 80.4595, 0, 11
92510435.91, 425030.76,    0.00, 221462560.47,   6163.58,       5.60,        835.93, 23858308.00,     1, 2.39, 1.00, 3.88 , 0.172314, 0.412506, 0.0238428, 83.8829, 0, 12
97129593.97, 423028.66,    0.00, 238346177.30,   5541.78,      16.52,        845.79, 25165974.00,     1, 2.45, 1.00, 3.86 , 0.180918, 0.443954, 0.0251505, 79.5212, 0, 13
98812904.25, 438174.74,    0.00, 236705716.04,   6574.94,       0.00,        846.27, 25593081.00,     1, 2.40, 1.00, 3.86 , 0.184053, 0.440899, 0.0255776, 78.1936, 0, 14
100044611.36, 438181.11,    0.00, 244646051.27,   5326.44,       2.74,        865.83, 25795302.00,     1, 2.45, 1.00, 3.88 , 0.186348, 0.455689, 0.0257798, 77.5801, 38.79, 15
92316935.76, 443347.24,    0.00, 183848147.99,   6591.49,       0.00,        823.84, 24190563.00,     1, 1.99, 1.00, 3.82 , 0.171954, 0.342444, 0.0241751, 82.7299, 41.3649, 16
103168820.73, 461408.31,    0.00, 249929214.77,   5672.84,       5.37,        833.29, 26600895.00,     1, 2.42, 1.00, 3.88 , 0.192167, 0.465529, 0.0265855, 75.2289, 37.6144, 17
103892853.39, 469877.51,    0.00, 248469780.52,   7670.76,      21.45,       1040.23, 26798177.00,     1, 2.39, 1.00, 3.88 , 0.193516, 0.462811, 0.026792, 74.6492, 37.3246, 18
104981678.25, 467517.50,    0.00, 257567470.84,   6318.03,       6.80,        872.77, 27200926.00,     1, 2.45, 1.00, 3.86 , 0.195544, 0.479757, 0.0271851, 73.5697, 36.7849, 19
106059427.96, 463142.24,    0.00, 245911282.38,   7006.75,      24.78,       1463.98, 27529175.00,     1, 2.32, 1.00, 3.85 , 0.197551, 0.458045, 0.0275123, 72.6947, 36.3473, 20
109854517.31, 561010.98,    0.00, 263305370.41,   6865.91,      11.22,        916.23, 28991485.00,     1, 2.40, 1.00, 3.79 , 0.20462, 0.490444, 0.0289756, 69.0236, 34.5118, 21
112212412.52, 482756.85,    0.00, 261078618.71,   7498.00,       1.40,        831.66, 29025180.00,     1, 2.33, 1.00, 3.87 , 0.209012, 0.486297, 0.0290094, 68.9431, 34.4716, 22
115753506.36, 491171.36,    0.00, 268898538.68,   6888.67,      17.87,        997.15, 29849462.00,     1, 2.32, 1.00, 3.88 , 0.215608, 0.500863, 0.0298336, 67.0384, 33.5192, 23
111517576.69, 486602.83,    0.00, 241367064.91,   7567.76,       0.00,        803.82, 28756279.00,     1, 2.16, 1.00, 3.88 , 0.207718, 0.449581, 0.0287405, 69.5882, 34.7941, 24
118538355.33, 522380.79,    0.00, 275273738.36,   7116.62,       2.74,       1025.97, 30890012.00,     1, 2.32, 1.00, 3.84 , 0.220795, 0.512737, 0.0308742, 64.779, 32.3895, 25
125038646.36, 531903.46,    0.00, 273905838.61,   8374.29,       4.06,       1015.87, 32242120.00,     1, 2.19, 1.00, 3.88 , 0.232903, 0.510189, 0.0322265, 62.0607, 31.0304, 26
128916665.55, 577751.97,    0.00, 279813861.52,   7760.42,       9.41,       1084.99, 33568960.00,     1, 2.17, 1.00, 3.84 , 0.240126, 0.521194, 0.0335524, 59.6082, 29.8041, 27
124266623.83, 558010.31,    0.00, 270662590.63,   8428.56,       5.40,       1006.53, 32371130.00,     1, 2.18, 1.00, 3.84 , 0.231465, 0.504148, 0.0323555, 61.8133, 30.9067, 28
126643735.77, 577167.55,    0.00, 287210865.85,   7495.13,      13.70,       1102.03, 33070639.00,     1, 2.27, 1.00, 3.83 , 0.235892, 0.534972, 0.033055, 60.5052, 30.2526, 29
124755913.74, 569423.74,    0.00, 287336023.11,   8728.80,       5.45,       1100.84, 32944118.00,     1, 2.30, 1.00, 3.79 , 0.232376, 0.535205, 0.0329286, 60.7375, 60.7375, 30
122190369.23, 542414.67,    0.00, 293301489.93,   7449.29,      60.77,        997.51, 31739882.00,     1, 2.40, 1.00, 3.85 , 0.227597, 0.546317, 0.0317241, 63.0436, 63.0436, 31
115495940.71, 492067.90,    0.00, 131014931.18,   7848.69,       0.00,        868.14, 29879778.00,     1, 1.13, 1.00, 3.87 , 0.215128, 0.244034, 0.0298641, 66.9701, 66.9701, 32
